partner_id	site_code	display_name	partner_branch_code	branch_name	delivery_type	address_line_1	address_line_2	sub_district	district	province	postal_code	delivery_zone	acceptable_vehicles	google_maps_url	is_active
1	DS-C0001-0001	Makro สาขานครศรีธรรมราช	M022	สาขานครศรีธรรมราช	direct_to_store	แม็คโคร นครศรีธรรมราช	ถนนเพชรเกษม	นาสาร	เมือง	นครศรีธรรมราช	80000	ภาคใต้	4 ล้อ, 4 ล้อตู้, 6 ล้อ, ตู้ห้องเย็น	https://www.google.com/maps/search/?api=1&query=Makro+นครศรีธรรมราช	TRUE
1	DS-C0001-0002	Makro สาขาหาดใหญ่	M009	สาขาหาดใหญ่	direct_to_store	แม็คโคร หาดใหญ่	ถนนกาญจนวนิช	คอหงส์	หาดใหญ่	สงขลา	90110	ภาคใต้	4 ล้อ, 4 ล้อตู้, 6 ล้อ, ตู้ห้องเย็น	https://www.google.com/maps/search/?api=1&query=Makro+หาดใหญ่	TRUE
1	DS-C0001-0003	Makro สาขาชัยภูมิ	M037	สาขาชัยภูมิ	direct_to_store	แม็คโคร ชัยภูมิ	ถนนนิวาส	ในเมือง	เมือง	ชัยภูมิ	36000	ภาคอีสาน	4 ล้อ, 4 ล้อตู้, 6 ล้อ, ตู้ห้องเย็น	https://www.google.com/maps/search/?api=1&query=Makro+ชัยภูมิ	TRUE
1	DS-C0001-0004	Makro สาขาเพชรบุรี	M036	สาขาเพชรบุรี	direct_to_store	แม็คโคร เพชรบุรี	ถนนเพชรเกษม	คลองกระแชง	เมือง	เพชรบุรี	76000	ภาคกลาง	4 ล้อ, 4 ล้อตู้, 6 ล้อ, ตู้ห้องเย็น	https://www.google.com/maps/search/?api=1&query=Makro+เพชรบุรี	TRUE
1	DS-C0001-0005	Makro สาขาจันทบุรี	M026	สาขาจันทบุรี	direct_to_store	แม็คโคร จันทบุรี	ถนนตรีรัต	วัดใหม่	เมือง	จันทบุรี	22000	ภาคตะวันออก	4 ล้อ, 4 ล้อตู้, 6 ล้อ, ตู้ห้องเย็น	https://www.google.com/maps/search/?api=1&query=Makro+จันทบุรี	TRUE
1	DS-C0001-0006	Makro สาขาแจ้งวัฒนะ	M002	สาขาแจ้งวัฒนะ	direct_to_store	แม็คโคร แจ้งวัฒนะ	ถนนแจ้งวัฒนะ	ทุ่งสองห้อง	หลักสี่	กรุงเทพมหานคร	10210	ภาคกลาง	4 ล้อ, 4 ล้อตู้, 6 ล้อ, ตู้ห้องเย็น	https://www.google.com/maps/search/?api=1&query=Makro+แจ้งวัฒนะ	TRUE
1	DS-C0001-0007	Makro สาขาสุรินทร์	M020	สาขาสุรินทร์	direct_to_store	แม็คโคร สุรินทร์	ถนนสุรินทร์-ปราสาท	ในเมือง	เมือง	สุรินทร์	32000	ภาคอีสาน	4 ล้อ, 4 ล้อตู้, 6 ล้อ, ตู้ห้องเย็น	https://www.google.com/maps/search/?api=1&query=Makro+สุรินทร์	TRUE
1	DS-C0001-0008	Makro สาขาระยอง	M015	สาขาระยอง	direct_to_store	แม็คโคร ระยอง	ถนนสุขุมวิท	เชิงเนิน	เมือง	ระยอง	21000	ภาคตะวันออก	4 ล้อ, 4 ล้อตู้, 6 ล้อ, ตู้ห้องเย็น	https://www.google.com/maps/search/?api=1&query=Makro+ระยอง	TRUE
1	DS-C0001-0009	Makro สาขาโคราช 1	M007	สาขาโคราช1	direct_to_store	แม็คโคร โคราช 1	ถนนมิตรภาพ	ในเมือง	เมือง	นครราชสีมา	30000	ภาคอีสาน	4 ล้อ, 4 ล้อตู้, 6 ล้อ, ตู้ห้องเย็น	https://www.google.com/maps/search/?api=1&query=Makro+นครราชสีมา	TRUE
1	DS-C0001-0010	Makro สาขาพัทยาใต้	M044	สาขาพัทยาใต้	direct_to_store	แม็คโคร พัทยาใต้	ถนนสุขุมวิท	หนองปรือ	บางละมุง	ชลบุรี	20150	ภาคตะวันออก	4 ล้อ, 4 ล้อตู้	https://www.google.com/maps/search/?api=1&query=Makro+พัทยาใต้	TRUE
1	DS-C0001-0011	Makro สาขาสระบุรี	M038	สาขาสระบุรี	direct_to_store	แม็คโคร สระบุรี	ถนนพหลโยธิน	ปากเพรียว	เมือง	สระบุรี	18000	ภาคกลาง	4 ล้อ, 4 ล้อตู้, 6 ล้อ, ตู้ห้องเย็น	https://www.google.com/maps/search/?api=1&query=Makro+สระบุรี	TRUE
1	DS-C0001-0012	Makro สาขาสระแก้ว	M030	สาขาสระแก้ว	direct_to_store	แม็คโคร สระแก้ว	ถนนสุวรรณศร	สระแก้ว	เมือง	สระแก้ว	27000	ภาคตะวันออก	4 ล้อ, 4 ล้อตู้, 6 ล้อ, ตู้ห้องเย็น	https://www.google.com/maps/search/?api=1&query=Makro+สระแก้ว	TRUE
1	DS-C0001-0013	Makro สาขาปราณบุรี	M039	สาขาปราณบุรี	direct_to_store	แม็คโคร ปราณบุรี	ถนนเพชรเกษม	ปากน้ำปราณ	ปราณบุรี	ประจวบคีรีขันธ์	77220	ภาคกลาง	4 ล้อ, 4 ล้อตู้	https://www.google.com/maps/search/?api=1&query=Makro+ปราณบุรี	TRUE
1	DS-C0001-0014	Makro สาขาบุรีรัมย์	M032	สาขาบุรีรัมย์	direct_to_store	แม็คโคร บุรีรัมย์	ถนนบุรีรัมย์-นางรอง	ในเมือง	เมือง	บุรีรัมย์	31000	ภาคอีสาน	4 ล้อ, 4 ล้อตู้, 6 ล้อ, ตู้ห้องเย็น	https://www.google.com/maps/search/?api=1&query=Makro+บุรีรัมย์	TRUE
1	DS-C0001-0015	Makro สาขานครนายก	M082	สาขานครนายก	direct_to_store	แม็คโคร นครนายก	ถนนสุวรรณศร	นครนายก	เมือง	นครนายก	26000	ภาคกลาง	4 ล้อ, 4 ล้อตู้, 6 ล้อ, ตู้ห้องเย็น	https://www.google.com/maps/search/?api=1&query=Makro+นครนายก	TRUE
1	DS-C0001-0016	Makro สาขาหัวหิน	M053	สาขาหัวหิน	direct_to_store	แม็คโคร หัวหิน	ถนนเพชรเกษม	หัวหิน	หัวหิน	ประจวบคีรีขันธ์	77110	ภาคกลาง	4 ล้อ, 4 ล้อตู้	https://www.google.com/maps/search/?api=1&query=Makro+หัวหิน	TRUE
1	DS-C0001-0017	Makro สาขาพัทยาเหนือ	M066	สาขาพัทยาเหนือ	direct_to_store	แม็คโคร พัทยาเหนือ	ถนนสุขุมวิท	นาเกลือ	บางละมุง	ชลบุรี	20150	ภาคตะวันออก	4 ล้อ, 4 ล้อตู้	https://www.google.com/maps/search/?api=1&query=Makro+พัทยาเหนือ	TRUE
1	DS-C0001-0018	Makro สาขาราชบุรี	M049	สาขาราชบุรี	direct_to_store	แม็คโคร ราชบุรี	ถนนเพชรเกษม	หน้าเมือง	เมือง	ราชบุรี	70000	ภาคกลาง	4 ล้อ, 4 ล้อตู้, 6 ล้อ, ตู้ห้องเย็น	https://www.google.com/maps/search/?api=1&query=Makro+ราชบุรี	TRUE
1	DS-C0001-0019	Makro สาขาบ้านเพ	M084	สาขาบ้านเพ	direct_to_store	แม็คโคร บ้านเพ	ถนนสุขุมวิท	บ้านเพ	เมือง	ระยอง	21160	ภาคตะวันออก	4 ล้อ, 4 ล้อตู้	https://www.google.com/maps/search/?api=1&query=Makro+บ้านเพ	TRUE
1	DS-C0001-0020	Makro สาขาโคราช 2	M102	สาขาโคราช2	direct_to_store	แม็คโคร โคราช 2	ถนนมิตรภาพ	จอหอ	เมือง	นครราชสีมา	30310	ภาคอีสาน	4 ล้อ, 4 ล้อตู้, 6 ล้อ, ตู้ห้องเย็น	https://www.google.com/maps/search/?api=1&query=Makro+จอหอ	TRUE
1	DS-C0001-0021	Makro สาขาบางปู	M112	สาขาบางปู	direct_to_store	แม็คโคร บางปู	ถนนสุขุมวิท	บางปูใหม่	เมือง	สมุทรปราการ	10280	กรุงเทพและปริมณฑล	4 ล้อ, 4 ล้อตู้, 6 ล้อ, ตู้ห้องเย็น	https://www.google.com/maps/search/?api=1&query=Makro+บางปู	TRUE
1	DS-C0001-0022	Makro สาขาแหลมฉบัง	M109	สาขาแหลมฉบัง	direct_to_store	แม็คโคร แหลมฉบัง	ถนนสุขุมวิท	ทุ่งสุขลา	ศรีราชา	ชลบุรี	20230	ภาคตะวันออก	4 ล้อ, 4 ล้อตู้, 6 ล้อ, ตู้ห้องเย็น	https://www.google.com/maps/search/?api=1&query=Makro+แหลมฉบัง	TRUE
1	DS-C0001-0023	Makro สาขาชะอำ	M125	สาขาชะอำ	direct_to_store	แม็คโคร ชะอำ	ถนนเพชรเกษม	ชะอำ	ชะอำ	เพชรบุรี	76120	ภาคกลาง	4 ล้อ, 4 ล้อตู้	https://www.google.com/maps/search/?api=1&query=Makro+ชะอำ	TRUE
1	DS-C0001-0024	Makro สาขาปทุมธานี	M120	สาขาปทุมธานี	direct_to_store	แม็คโคร ปทุมธานี	ถนนพหลโยธิน	บ้านกลาง	เมือง	ปทุมธานี	12000	กรุงเทพและปริมณฑล	4 ล้อ, 4 ล้อตู้, 6 ล้อ, ตู้ห้องเย็น	https://www.google.com/maps/search/?api=1&query=Makro+ปทุมธานี	TRUE
1	DS-C0001-0025	Makro สาขากบินทร์บุรี	M128	สาขากบินทร์บุรี	direct_to_store	แม็คโคร กบินทร์บุรี	ถนนสุวรรณศร	กบินทร์	กบินทร์บุรี	ปราจีนบุรี	25110	ภาคตะวันออก	4 ล้อ, 4 ล้อตู้, 6 ล้อ, ตู้ห้องเย็น	https://www.google.com/maps/search/?api=1&query=Makro+กบินทร์บุรี	TRUE
1	DS-C0001-0026	Makro สาขาฉะเชิงเทรา	M040	สาขาฉะเชิงเทรา	direct_to_store	แม็คโคร ฉะเชิงเทรา	ถนนสิริโสธร	หน้าเมือง	เมือง	ฉะเชิงเทรา	24000	ภาคตะวันออก	4 ล้อ, 4 ล้อตู้, 6 ล้อ, ตู้ห้องเย็น	https://www.google.com/maps/search/?api=1&query=Makro+ฉะเชิงเทรา	TRUE
1	DS-C0001-0027	Makro สาขาคลองหลวง	M054	สาขาคลองหลวง	direct_to_store	แม็คโคร คลองหลวง	ถนนพหลโยธิน	คลองหนึ่ง	คลองหลวง	ปทุมธานี	12120	กรุงเทพและปริมณฑล	4 ล้อ, 4 ล้อตู้, 6 ล้อ, ตู้ห้องเย็น	https://www.google.com/maps/search/?api=1&query=Makro+คลองหลวง	TRUE
1	DS-C0001-0028	Makro สาขาปากช่อง	M074	สาขาปากช่อง	direct_to_store	แม็คโคร ปากช่อง	ถนนมิตรภาพ	ปากช่อง	ปากช่อง	นครราชสีมา	30130	ภาคอีสาน	4 ล้อ, 4 ล้อตู้, 6 ล้อ, ตู้ห้องเย็น	https://www.google.com/maps/search/?api=1&query=Makro+ปากช่อง	TRUE
1	DS-C0001-0029	Makro สาขาแพรกษา	M142	สาขาแพรกษา	direct_to_store	แม็คโคร แพรกษา	ถนนแพรกษา	แพรกษา	เมือง	สมุทรปราการ	10280	กรุงเทพและปริมณฑล	4 ล้อ, 4 ล้อตู้	https://www.google.com/maps/search/?api=1&query=Makro+แพรกษา	TRUE
1	DS-C0001-0030	Makro สาขากาฬสินธุ์	M116	สาขากาฬสินธุ์	direct_to_store	แม็คโคร กาฬสินธุ์	ถนนกาฬสินธุ์	ในเมือง	เมือง	กาฬสินธุ์	46000	ภาคอีสาน	4 ล้อ, 4 ล้อตู้, 6 ล้อ, ตู้ห้องเย็น	https://www.google.com/maps/search/?api=1&query=Makro+กาฬสินธุ์	TRUE
1	DS-C0001-0031	Makro สาขาอุดร	M010	สาขาอุดร	direct_to_store	แม็คโคร อุดรธานี	ถนนมิตรภาพ	หมากแข้ง	เมือง	อุดรธานี	41000	ภาคอีสาน	4 ล้อ, 4 ล้อตู้, 6 ล้อ, ตู้ห้องเย็น	https://www.google.com/maps/search/?api=1&query=Makro+อุดรธานี	TRUE
